name,role,url,photo,current
Avi Ramu,Graduate Student,https://dbbs.wustl.edu/curstudents/Pages/student_bio.aspx?SID=7334,avi.jpg,yes
Barak Cohen,Alvin Goldfarb Distinguished Professor of Computational Biology,http://genetics.wustl.edu/staff-members/barak-cohen/,barak.jpg,yes
Clarice Hong,Graduate Student,https://dbbs.wustl.edu/curstudents/Pages/student_bio.aspx?SID=7303,clarice.jpg,yes
Dustin Baldridge,Assistant Professor,http://pediatrics.wustl.edu/faculty/Baldridge_D,dustin.jpg,yes
James Shepherdson,Graduate Student (MSTP),https://mstp.wustl.edu/students/Pages/student_bio.aspx?SID=7514,james.jpg,yes
Jie Li,Technician,,jie.jpg,yes
Kai Loell,Graduate Student,https://dbbs.wustl.edu/curstudents/Pages/student_bio.aspx?SID=7455,kai.jpg,yes
Linda Riles,Volunteer,,linda.jpg,yes
Mike Grupe,Technician,,mikeg.jpg,yes
Mike White,Associate Professor,http://genetics.wustl.edu/staff-members/michael-white/,mikew.jpg,yes
Ryan Friedman,Graduate Student,https://dbbs.wustl.edu/curstudents/Pages/student_bio.aspx?SID=7439,ryan.jpg,yes
Sara Lichtarge,Undergraduate Student,,sara.jpg,yes
Yawei Wu,Graduate Student,https://dbbs.wustl.edu/curstudents/Pages/student_bio.aspx?SID=7750,yawei.jpg,yes
Zara Shariff,Undergraduate Student,,zara.jpg,yes
Brett Maricque,Graduate Student,https://www.genome.wustl.edu/people/brett-maricque/,brett.jpg,no
Chris Fiore,Graduate Student,,chris.jpg,no
Christina Chen,Graduate Student,,christina.jpg,no
Dana King,Graduate Student,https://brcf.medicine.umich.edu/staff-member/dana-king-ph-d/,dana.jpg,no
Desikan,Technician,,desikan.jpg,no
Devjanee Swain-Lenz,Staff Scientist,,devjanee.jpg,no
Eddie Ramirez,Postbaccalaureate Student,,eddie.jpg,no
Hemangi Chaudhari,Graduate Student,,hemangi.jpg,no
Ilaria Mogno,Postdoctoral Fellow,https://icahn.mssm.edu/profiles/ilaria-mogno,ilaria.jpg,no
Jamie Kwasnieski,Graduate Student,https://www.dynotx.com/team/,jamie.jpg,no
Jason Gertz,Graduate Student,https://uofuhealth.utah.edu/huntsman/labs/gertz/,jay.jpg,no
Jeff Hansen,Graduate Student (MSTP),https://mstp.wustl.edu/students/Pages/student_bio.aspx?SID=7260,jeff.jpg,no
Josh Witten,Graduate Student,https://www.scgssm.org/faculty-staff/dr-josh-witten,josh.jpg,no
Justin Gerke,Graduate Student,,justin.jpg,no
Kimberly Lorenz,Graduate Student,,kim.jpg,no
Lauren Chircus,Undergraduate Student,,lauren.jpg,no
Marc Sherman,Graduate Student (MSTP),https://connects.catalyst.harvard.edu/Profiles/display/Person/149030,marc.jpg,no
Margie Andersohn,Administrative Assistant,,margie.jpg,no
Max Staller,Postdoctoral Fellow,https://www.stallerlab.com/,max.jpg,no
Nicole Rockweiler,Graduate Student,https://mccarrolllab.org/people/,nicole.jpg,no
Priya Sudarsanam,Senior Scientist,,priya.jpg,no
Robert Zeigler,Graduate Student,,robert.jpg,no
Shoshana Goldberg,Summer Student,,shoshanna.jpg,no
Siqi Zhao,Graduate Student,,siqi.jpg,no
